Open Price,Close Price,Time
2.96e-05,2.96e-05,2022-02-14 23:44:00
2.97e-05,2.96e-05,2022-02-14 23:45:00
2.98e-05,2.98e-05,2022-02-14 23:46:00
2.96e-05,2.96e-05,2022-02-14 23:48:00
2.96e-05,2.96e-05,2022-02-14 23:49:00
2.97e-05,2.96e-05,2022-02-14 23:51:00
2.95e-05,2.96e-05,2022-02-14 23:52:00
2.96e-05,2.96e-05,2022-02-14 23:54:00
2.95e-05,2.95e-05,2022-02-14 23:55:00
2.97e-05,2.95e-05,2022-02-15 00:00:00
2.96e-05,2.95e-05,2022-02-15 00:01:00
2.96e-05,2.95e-05,2022-02-15 00:03:00
2.97e-05,2.97e-05,2022-02-15 00:05:00
2.97e-05,2.97e-05,2022-02-15 00:06:00
2.97e-05,2.97e-05,2022-02-15 00:10:00
2.96e-05,2.97e-05,2022-02-15 00:13:00
2.96e-05,2.96e-05,2022-02-15 00:16:00
2.95e-05,2.96e-05,2022-02-15 00:19:00
2.97e-05,2.96e-05,2022-02-15 00:21:00
2.97e-05,2.97e-05,2022-02-15 00:25:00
2.97e-05,2.97e-05,2022-02-15 00:27:00
2.97e-05,2.97e-05,2022-02-15 00:28:00
2.98e-05,2.98e-05,2022-02-15 00:29:00
2.99e-05,2.99e-05,2022-02-15 00:31:00
2.97e-05,2.98e-05,2022-02-15 00:33:00
2.97e-05,2.97e-05,2022-02-15 00:36:00
2.98e-05,2.98e-05,2022-02-15 00:38:00
2.98e-05,2.98e-05,2022-02-15 00:39:00
2.97e-05,2.97e-05,2022-02-15 00:41:00
2.97e-05,2.97e-05,2022-02-15 00:45:00
2.97e-05,2.96e-05,2022-02-15 00:47:00
2.96e-05,2.97e-05,2022-02-15 00:48:00
2.98e-05,2.98e-05,2022-02-15 00:49:00
2.98e-05,2.97e-05,2022-02-15 00:51:00
2.98e-05,2.97e-05,2022-02-15 00:55:00
2.98e-05,2.98e-05,2022-02-15 00:58:00
2.98e-05,2.97e-05,2022-02-15 01:00:00
2.98e-05,2.98e-05,2022-02-15 01:01:00
2.97e-05,2.99e-05,2022-02-15 01:04:00
2.99e-05,2.99e-05,2022-02-15 01:06:00
2.99e-05,2.99e-05,2022-02-15 01:08:00
2.99e-05,2.98e-05,2022-02-15 01:09:00
2.98e-05,2.99e-05,2022-02-15 01:11:00
2.98e-05,2.99e-05,2022-02-15 01:17:00
2.98e-05,2.99e-05,2022-02-15 01:18:00
2.99e-05,3e-05,2022-02-15 01:21:00
2.99e-05,3.01e-05,2022-02-15 01:24:00
3e-05,3.01e-05,2022-02-15 01:25:00
3.02e-05,3.02e-05,2022-02-15 01:28:00
3.02e-05,3.01e-05,2022-02-15 01:29:00
3.02e-05,3.02e-05,2022-02-15 01:32:00
3.02e-05,3.03e-05,2022-02-15 01:33:00
3.04e-05,3.04e-05,2022-02-15 01:34:00
3.04e-05,3.04e-05,2022-02-15 01:35:00
3.04e-05,3.05e-05,2022-02-15 01:36:00
3.05e-05,3.05e-05,2022-02-15 01:37:00
3.05e-05,3.06e-05,2022-02-15 01:38:00
3.06e-05,3.06e-05,2022-02-15 01:39:00
3.05e-05,3.04e-05,2022-02-15 01:40:00
3.04e-05,3.05e-05,2022-02-15 01:41:00
3.04e-05,3.04e-05,2022-02-15 01:42:00
3.05e-05,3.05e-05,2022-02-15 01:44:00
3.05e-05,3.04e-05,2022-02-15 01:47:00
3.05e-05,3.05e-05,2022-02-15 01:48:00
3.05e-05,3.05e-05,2022-02-15 01:49:00
3.05e-05,3.06e-05,2022-02-15 01:50:00
3.05e-05,3.05e-05,2022-02-15 01:51:00
3.04e-05,3.04e-05,2022-02-15 01:52:00
3.05e-05,3.05e-05,2022-02-15 01:53:00
3.05e-05,3.04e-05,2022-02-15 01:55:00
3.05e-05,3.05e-05,2022-02-15 01:56:00
3.05e-05,3.04e-05,2022-02-15 02:00:00
3.03e-05,3.04e-05,2022-02-15 02:02:00
3.05e-05,3.05e-05,2022-02-15 02:03:00
3.04e-05,3.06e-05,2022-02-15 02:04:00
3.06e-05,3.05e-05,2022-02-15 02:06:00
3.05e-05,3.04e-05,2022-02-15 02:07:00
3.05e-05,3.05e-05,2022-02-15 02:09:00
3.05e-05,3.05e-05,2022-02-15 02:11:00
3.05e-05,3.05e-05,2022-02-15 02:13:00
3.05e-05,3.06e-05,2022-02-15 02:16:00
3.05e-05,3.04e-05,2022-02-15 02:21:00
3.04e-05,3.04e-05,2022-02-15 02:22:00
3.05e-05,3.06e-05,2022-02-15 02:23:00
3.06e-05,3.06e-05,2022-02-15 02:24:00
3.06e-05,3.05e-05,2022-02-15 02:26:00
3.06e-05,3.06e-05,2022-02-15 02:27:00
3.06e-05,3.07e-05,2022-02-15 02:31:00
3.07e-05,3.07e-05,2022-02-15 02:36:00
3.07e-05,3.08e-05,2022-02-15 02:40:00
3.08e-05,3.08e-05,2022-02-15 02:42:00
3.08e-05,3.08e-05,2022-02-15 02:43:00
3.07e-05,3.06e-05,2022-02-15 02:45:00
3.07e-05,3.06e-05,2022-02-15 02:46:00
3.07e-05,3.06e-05,2022-02-15 02:47:00
3.06e-05,3.07e-05,2022-02-15 02:51:00
3.07e-05,3.07e-05,2022-02-15 02:53:00
3.07e-05,3.06e-05,2022-02-15 02:59:00
3.06e-05,3.05e-05,2022-02-15 03:00:00
3.05e-05,3.05e-05,2022-02-15 03:03:00
3.05e-05,3.06e-05,2022-02-15 03:04:00
3.06e-05,3.06e-05,2022-02-15 03:05:00
3.07e-05,3.06e-05,2022-02-15 03:06:00
3.05e-05,3.05e-05,2022-02-15 03:07:00
3.05e-05,3.06e-05,2022-02-15 03:08:00
3.05e-05,3.05e-05,2022-02-15 03:10:00
3.05e-05,3.05e-05,2022-02-15 03:11:00
3.05e-05,3.05e-05,2022-02-15 03:12:00
3.04e-05,3.04e-05,2022-02-15 03:13:00
3.05e-05,3.06e-05,2022-02-15 03:14:00
3.06e-05,3.06e-05,2022-02-15 03:15:00
3.05e-05,3.05e-05,2022-02-15 03:16:00
3.05e-05,3.05e-05,2022-02-15 03:19:00
3.04e-05,3.05e-05,2022-02-15 03:22:00
3.05e-05,3.05e-05,2022-02-15 03:23:00
3.04e-05,3.05e-05,2022-02-15 03:25:00
3.06e-05,3.05e-05,2022-02-15 03:28:00
3.05e-05,3.05e-05,2022-02-15 03:30:00
3.06e-05,3.06e-05,2022-02-15 03:32:00
